Element Name,Windows NT,Windows,Component,Redistributable,Declaration Header,Include Header,Library,GUID,GUID Macro,Unicode,Element Type
ACCESS_MODE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
ACL_INFORMATION_CLASS,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
AUDIT_EVENT_TYPE,Windows 2000 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
AUTHZ_CONTEXT_INFORMATION_CLASS,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,,,,,enumeration
MULTIPLE_TRUSTEE_OPERATION,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
SE_OBJECT_TYPE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
SECURITY_IMPERSONATION_LEVEL,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
SI_PAGE_TYPE,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,enumeration
SID_NAME_USE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
TOKEN_INFORMATION_CLASS,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
TOKEN_TYPE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,enumeration
TRUSTEE_FORM,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
TRUSTEE_TYPE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,,enumeration
WELL_KNOWN_SID_TYPE,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,,,,,enumeration
AccessCheck,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AccessCheckAndAuditAlarm,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AccessCheckByType,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AccessCheckByTypeAndAuditAlarm,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AccessCheckByTypeResultList,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AccessCheckByTypeResultListAndAuditAlarm,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AccessCheckByTypeResultListAndAuditAlarmByHandle,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AddAccessAllowedAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessAllowedAceEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessAllowedObjectAce,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessDeniedAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessDeniedAceEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAccessDeniedObjectAce,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAuditAccessAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAuditAccessAceEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AddAuditAccessObjectAce,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AdjustTokenGroups,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AdjustTokenPrivileges,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AllocateAndInitializeSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AllocateLocallyUniqueId,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AreAllAccessesGranted,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AreAnyAccessesGranted,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
AuthzAccessCheck,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzAccessCheckCallback,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzAddSidsToContext,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzCachedAccessCheck,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzComputeGroupsCallback,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeAuditEvent,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzFreeContext,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeGroupsCallback,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeHandle,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeResourceManager,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzFreeRMAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzGetContextInformation,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzGetInformationFromAuditEvent,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzGetInformationFromAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzGetInformationFromContext,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzGetInformationFromResourceManager,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzGetInformationFromRMAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzInitializeAuditEvent,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzInitializeAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzInitializeContextFromAuthzContext,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzInitializeContextFromSid,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzInitializeContextFromToken,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzInitializeObjectAccessAuditEvent,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzInitializeResourceManager,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzModifyRMAuditInfo,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
AuthzOpenObjectAudit,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,Authz.lib,,,,function
AuthzOpenObjectAuditAlarm,Windows 2000 and later,,Access Control,,Winbase.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
BuildExplicitAccessWithName,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
BuildSecurityDescriptor,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
BuildTrusteeWithName,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
BuildTrusteeWithObjectsAndName,Windows 2000 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
BuildTrusteeWithObjectsAndSid,Windows 2000 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
BuildTrusteeWithSid,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
CheckTokenMembership,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
ConvertSecurityDescriptorToStringSecurityDescriptor,Windows 2000 and later,,Access Control,,Sddl.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ConvertSidToStringSid,Windows 2000 and later,,Access Control,,Sddl.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ConvertStringSecurityDescriptorToSecurityDescriptor,Windows 2000 and later,,Access Control,,Sddl.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ConvertStringSidToSid,Windows 2000 and later,,Access Control,,Sddl.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ConvertToAutoInheritPrivateObjectSecurity,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
CopySid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
CreatePrivateObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
CreatePrivateObjectSecurityEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
CreatePrivateObjectSecurityWithMultipleInheritance,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
CreateRestrictedToken,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
CreateSecurityPage,Windows 2000 and later,,Access Control,,Aclui.h,,Aclui.lib,,,,function
CreateWellKnownSid,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
DeleteAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
DestroyPrivateObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
DuplicateToken,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
DuplicateTokenEx,Windows NT 4.0 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
EditSecurity,Windows 2000 and later,,Access Control,,Aclui.h,,Aclui.lib,,,,function
EqualDomainSid,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
EqualPrefixSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
EqualSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
FindFirstFreeAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
FreeInheritedFromArray,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
FreeSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetAce,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetAclInformation,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetAuditedPermissionsFromAcl,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetEffectiveRightsFromAcl,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetExplicitEntriesFromAcl,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetFileSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetInheritanceSource,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetKernelObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetLengthSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetNamedSecurityInfo,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetPrivateObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorControl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorDacl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorGroup,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorLength,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorOwner,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorRMControl,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityDescriptorSacl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSecurityInfo,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,,function
GetSidIdentifierAuthority,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSidLengthRequired,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSidSubAuthority,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetSidSubAuthorityCount,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetTokenInformation,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
GetTrusteeForm,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetTrusteeName,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetTrusteeType,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
GetUserObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winuser.h,Windows.h,User32.lib,,,,function
GetWindowsAccountDomainSid,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ImpersonateAnonymousToken,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
ImpersonateLoggedOnUser,Windows NT 3.51 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
ImpersonateNamedPipeClient,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
ImpersonateSelf,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
InitializeAcl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
InitializeSecurityDescriptor,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
InitializeSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
IsTokenRestricted,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
IsValidAcl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
IsValidSecurityDescriptor,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
IsValidSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
IsWellKnownSid,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LogonUser,Windows NT 3.51 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LogonUserEx,Windows XP and Windows .NET Server,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LookupAccountName,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LookupAccountSid,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LookupPrivilegeDisplayName,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LookupPrivilegeName,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LookupPrivilegeValue,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
LookupSecurityDescriptorParts,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
MakeAbsoluteSD,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
MakeSelfRelativeSD,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
MapGenericMask,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
ObjectCloseAuditAlarm,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ObjectDeleteAuditAlarm,Windows NT 4.0 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ObjectOpenAuditAlarm,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
ObjectPrivilegeAuditAlarm,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
OpenProcessToken,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
OpenThreadToken,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
PrivilegeCheck,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
PrivilegedServiceAuditAlarm,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
QueryServiceObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winsvc.h,Windows.h,Advapi32.lib,,,,function
RegGetKeySecurity,Windows NT 3.1 and later,,Access Control,,Winreg.h,Windows.h,Advapi32.lib,,,,function
RegSetKeySecurity,Windows NT 3.1 and later,,Access Control,,Winreg.h,Windows.h,Advapi32.lib,,,,function
RevertToSelf,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetAclInformation,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetEntriesInAcl,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
SetFileSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
SetKernelObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetNamedSecurityInfo,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,Implemented as Unicode and ANSI versions.,function
SetPrivateObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetPrivateObjectSecurityEx,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityDescriptorControl,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityDescriptorDacl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityDescriptorGroup,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityDescriptorOwner,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityDescriptorRMControl,Windows 2000 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityDescriptorSacl,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetSecurityInfo,Windows NT 4.0 and later,,Access Control,,Aclapi.h,,Advapi32.lib,,,,function
SetServiceObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winsvc.h,Windows.h,Advapi32.lib,,,,function
SetThreadToken,Windows NT 3.51 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetTokenInformation,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,Advapi32.lib,,,,function
SetUserObjectSecurity,Windows NT 3.1 and later,,Access Control,,Winuser.h,Windows.h,User32.lib,,,,function
ISecurityInformation,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,interface
ISecurityInformation2,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,interface
ACCESS_ALLOWED_ACE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACCESS_ALLOWED_OBJECT_ACE,Windows 2000 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACCESS_DENIED_ACE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACCESS_DENIED_OBJECT_ACE,Windows 2000 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACCESS_MASK,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACE_HEADER,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACL,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACL_REVISION_INFORMATION,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
ACL_SIZE_INFORMATION,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
AUTHZ_ACCESS_REPLY,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,,,,,structure
AUTHZ_ACCESS_REQUEST,Windows XP and Windows .NET Server,,Access Control,,Authz.h,,,,,,structure
EXPLICIT_ACCESS,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,Declared as Unicode and ANSI structures.,structure
GENERIC_MAPPING,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
LUID,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
LUID_AND_ATTRIBUTES,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
OBJECT_TYPE_LIST,Windows 2000 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
OBJECTS_AND_NAME,Windows 2000 and later,,Access Control,,Accctrl.h,,,,,Declared as Unicode and ANSI structures.,structure
OBJECTS_AND_SID,Windows 2000 and later,,Access Control,,Accctrl.h,,,,,Declared as Unicode and ANSI structures.,structure
PRIVILEGE_SET,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SECURITY_ATTRIBUTES,Windows NT 3.1 and later,,Access Control,,Winbase.h,Windows.h,,,,,structure
SECURITY_DESCRIPTOR,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SECURITY_DESCRIPTOR_CONTROL,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SECURITY_INFORMATION,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SECURITY_QUALITY_OF_SERVICE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SI_ACCESS,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,structure
SI_INHERIT_TYPE,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,structure
SI_OBJECT_INFO,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,structure
SID,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SID_AND_ATTRIBUTES,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SID_IDENTIFIER_AUTHORITY,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SID_INFO,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,structure
SID_INFO_LIST,Windows 2000 and later,,Access Control,,Aclui.h,,,,,,structure
SYSTEM_AUDIT_ACE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
SYSTEM_AUDIT_OBJECT_ACE,Windows 2000 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_CONTROL,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_DEFAULT_DACL,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_GROUPS,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_GROUPS_AND_PRIVILEGES,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_OWNER,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_PRIMARY_GROUP,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_PRIVILEGES,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_SOURCE,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_STATISTICS,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TOKEN_USER,Windows NT 3.1 and later,,Access Control,,Winnt.h,Windows.h,,,,,structure
TRUSTEE,Windows NT 4.0 and later,,Access Control,,Accctrl.h,,,,,Declared as Unicode and ANSI structures.,structure
WinEventProc Callback Function,Windows 2000 and later,Windows 98 and later,Accessibility,Active Accessibility 1.3 RDK on Windows NT 4.0 SP6 and Windows 95,Winuser.h,Windows.h,,,,,callback function
SELFLAG,Windows 2000 and later,Windows 98 and later,Accessibility,Active Accessibility 1.3 RDK on Windows NT 4.0 SP6 and Windows 95,Oleacc.h,,,,,,enumeration
AccessibleChildren,Windows 2000 and later,Windows 98 and later,Accessibility,Active Accessibility 1.3 RDK on Windows NT 4.0 SP6 and Windows 95,Oleacc.h,,Oleacc.lib,,,,function
